15:23:01.060	SERVER	admin	OK	Server was started (port: 1984).
15:23:17.197	127.0.0.1:39116	admin	REQUEST	<root>{ for $a in collection("CursosUA")//curso return <elem> {$a/guid} {$a/nome} </elem>}</root>	1359.61 ms
15:23:17.199	127.0.0.1:39116	admin	ERROR	Unknown command: <root/>.	1.17 ms
15:23:17.439	127.0.0.1:39116	admin	REQUEST	<root>{ for $a in collection("CursosUA")//curso return <elem> {$a/guid} {$a/nome} </elem>}</root>	9.57 ms
15:23:17.439	127.0.0.1:39116	admin	ERROR	Unknown command: <root/>.	0.38 ms
15:24:24.529	127.0.0.1:39124	admin	REQUEST	for $a in collection("CursosUA")//curso return <elem> {$a/guid} {$a/nome} </elem>	6.57 ms
15:24:24.530	127.0.0.1:39124	admin	ERROR	Stopped at , 1/4: Unknown command: for. Try 'help'.	0.22 ms
15:26:30.938	127.0.0.1:39130	admin	REQUEST	XQUERY 1 to 10	2.9 ms
15:26:30.944	127.0.0.1:39130	admin	OK	Query executed in 5.01 ms.	5.89 ms
15:28:06.351	127.0.0.1:39146	admin	OK	QUERY[0] for $i in 1 to 10 return <xml>Text { $i }</xml>	5.71 ms
15:28:06.392	127.0.0.1:39146	admin	OK	RESULTS[0]	39.73 ms
15:28:06.392	127.0.0.1:39146	admin	OK	CLOSE[0]	0.19 ms
15:30:01.020	127.0.0.1:39156	admin	REQUEST	xquery	0.38 ms
15:30:01.020	127.0.0.1:39156	admin	ERROR	Stopped at , 1/7: Syntax: XQUERY [query] Run XQuery. Runs the specified query and prints the result.	0.11 ms
15:30:01.024	127.0.0.1:39158	admin	REQUEST	xquery	0.34 ms
15:30:01.025	127.0.0.1:39158	admin	ERROR	Stopped at , 1/7: Syntax: XQUERY [query] Run XQuery. Runs the specified query and prints the result.	0.19 ms
15:35:18.198	127.0.0.1:39214	admin	REQUEST	for $a in collection("CursosUA")//curso return <elem> {$a/guid} {$a/nome} </elem>	1.71 ms
15:35:18.199	127.0.0.1:39214	admin	ERROR	Stopped at , 1/4: Unknown command: for. Try 'help'.	0.45 ms
15:36:44.732	127.0.0.1:39224	admin	REQUEST	CREATE DB CursosUA	1.39 ms
15:36:44.748	127.0.0.1:39224	admin	OK	Database 'CursosUA' created in 14.7 ms.	16.64 ms
15:37:29.665	127.0.0.1:39228	admin	REQUEST	CREATE DB CursosUA	0.33 ms
15:37:29.668	127.0.0.1:39228	admin	OK	Database 'CursosUA' created in 2.88 ms.	3.42 ms
15:37:29.669	127.0.0.1:39228	admin	REQUEST	ADD TO app/cursos.xml [...]	0.62 ms
