14:06:08.560	SERVER	admin	OK	Server was started (port: 1984).
14:06:27.955	127.0.0.1:39128	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	115.16 ms
14:06:29.832	127.0.0.1:39128	admin	OK	Query executed in 1858.34 ms.	1877.68 ms
14:06:36.112	127.0.0.1:39128	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	1.82 ms
14:06:36.407	127.0.0.1:39128	admin	OK	Query executed in 292.45 ms.	294.62 ms
14:15:20.614	127.0.0.1:39186	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	1.33 ms
14:15:20.785	127.0.0.1:39186	admin	OK	Query executed in 168.65 ms.	170.51 ms
14:27:42.757	127.0.0.1:39258	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	2.07 ms
14:27:42.984	127.0.0.1:39258	admin	OK	Query executed in 186.83 ms.	226.3 ms
14:27:58.526	127.0.0.1:39280	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	1.27 ms
14:27:58.645	127.0.0.1:39280	admin	OK	Query executed in 117.12 ms.	118.5 ms
14:29:31.647	127.0.0.1:39280	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.97 ms
14:29:31.829	127.0.0.1:39280	admin	OK	Query executed in 180.76 ms.	182.35 ms
14:34:35.466	127.0.0.1:39280	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.48 ms
14:34:35.572	127.0.0.1:39280	admin	OK	Query executed in 105.22 ms.	106.0 ms
14:35:16.953	127.0.0.1:39328	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.78 ms
14:35:17.084	127.0.0.1:39328	admin	OK	Query executed in 129.46 ms.	130.61 ms
14:35:24.103	127.0.0.1:39328	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.94 ms
14:35:24.232	127.0.0.1:39328	admin	OK	Query executed in 127.18 ms.	128.75 ms
14:35:34.950	127.0.0.1:39328	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	1.18 ms
14:35:35.079	127.0.0.1:39328	admin	OK	Query executed in 128.24 ms.	128.87 ms
14:36:27.960	127.0.0.1:39328	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.52 ms
14:36:28.089	127.0.0.1:39328	admin	OK	Query executed in 128.25 ms.	129.12 ms
14:38:30.240	127.0.0.1:39328	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:buscar-artistas()	0.3 ms
14:38:30.345	127.0.0.1:39328	admin	OK	Query executed in 103.75 ms.	104.4 ms
