17:36:19.152	SERVER	admin	OK	Server was started (port: 1984).
17:55:46.183	127.0.0.1:47750	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	107.06 ms
17:55:48.895	127.0.0.1:47750	admin	OK	Query executed in 2705.96 ms.	2711.85 ms
17:56:28.752	127.0.0.1:47750	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	2.04 ms
17:56:28.926	127.0.0.1:47750	admin	OK	Query executed in 172.64 ms.	173.91 ms
17:57:14.996	127.0.0.1:47824	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	1.58 ms
17:57:15.059	127.0.0.1:47824	admin	OK	Query executed in 62.01 ms.	63.51 ms
17:57:51.011	127.0.0.1:47838	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	0.65 ms
17:57:51.052	127.0.0.1:47838	admin	OK	Query executed in 39.86 ms.	41.82 ms
17:58:41.702	127.0.0.1:47862	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	1.64 ms
17:58:41.754	127.0.0.1:47862	admin	OK	Query executed in 50.73 ms.	52.29 ms
17:59:47.838	127.0.0.1:47894	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	1.53 ms
17:59:47.921	127.0.0.1:47894	admin	OK	Query executed in 81.13 ms.	82.87 ms
17:59:47.924	127.0.0.1:47894	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.75 ms
17:59:47.953	127.0.0.1:47894	admin	OK	Query executed in 28.04 ms.	29.09 ms
18:01:04.267	127.0.0.1:47930	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	1.33 ms
18:01:04.338	127.0.0.1:47930	admin	OK	Query executed in 69.73 ms.	71.31 ms
18:01:04.339	127.0.0.1:47930	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.65 ms
18:01:04.370	127.0.0.1:47930	admin	OK	Query executed in 29.39 ms.	30.27 ms
18:01:31.263	127.0.0.1:47946	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	0.65 ms
18:01:31.295	127.0.0.1:47946	admin	OK	Query executed in 30.9 ms.	31.86 ms
18:01:31.296	127.0.0.1:47946	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.56 ms
18:01:31.326	127.0.0.1:47946	admin	OK	Query executed in 29.1 ms.	30.05 ms
18:02:16.986	127.0.0.1:47968	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	2.23 ms
18:02:17.050	127.0.0.1:47968	admin	OK	Query executed in 62.64 ms.	63.81 ms
18:02:17.054	127.0.0.1:47968	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.82 ms
18:02:17.083	127.0.0.1:47968	admin	OK	Query executed in 27.31 ms.	28.71 ms
18:02:47.627	127.0.0.1:47986	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	1.3 ms
18:02:47.657	127.0.0.1:47986	admin	OK	Query executed in 28.91 ms.	30.79 ms
18:02:47.671	127.0.0.1:47986	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.73 ms
18:02:47.713	127.0.0.1:47986	admin	OK	Query executed in 40.49 ms.	42.07 ms
18:03:20.106	127.0.0.1:48004	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	0.54 ms
18:03:20.133	127.0.0.1:48004	admin	OK	Query executed in 25.42 ms.	27.13 ms
18:03:20.136	127.0.0.1:48004	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	1.03 ms
18:03:20.163	127.0.0.1:48004	admin	OK	Query executed in 25.93 ms.	26.92 ms
18:04:38.169	127.0.0.1:48036	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	2.03 ms
18:04:38.227	127.0.0.1:48036	admin	OK	Query executed in 55.71 ms.	57.76 ms
18:04:38.230	127.0.0.1:48036	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.55 ms
18:04:38.259	127.0.0.1:48036	admin	OK	Query executed in 28.45 ms.	29.39 ms
18:05:33.313	127.0.0.1:48062	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	2.15 ms
18:05:33.353	127.0.0.1:48062	admin	OK	Query executed in 39.08 ms.	40.48 ms
18:05:33.355	127.0.0.1:48062	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.75 ms
18:05:33.381	127.0.0.1:48062	admin	OK	Query executed in 25.33 ms.	26.26 ms
18:05:57.519	127.0.0.1:48080	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	0.57 ms
