10:54:55.012	SERVER	admin	OK	Server was started (port: 1984).
17:09:33.764	127.0.0.1:50920	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:new-playlist(<playlistDemo id="4"><nome>dfdfd</nome><id>4</id><numeroDeMusicas>1</numeroDeMusicas><dataCriacao>2020-11-18</dataCriacao><musicas><musica><nome>National Park</nome><id>2qYUm8ngq2sgJ15tFcztlZ</id><externalUrl>https://open.spotify.com/track/2qYUm8ngq2sgJ15tFcztlZ</externalUrl><img>https://i.scdn.co/image/ab67616d0000485116deb04b0f1e31796dc0c6e5</img><artistas><artista><nome>Jawnhto</nome><id>1RSiyYMFiqplPSFmkUjU6m</id></artista></artistas></musica></musicas></playlistDemo>)	1.19 ms
17:09:33.823	127.0.0.1:50920	admin	OK	Query executed in 57.64 ms.	59.6 ms
17:09:33.857	127.0.0.1:50920	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	0.64 ms
17:09:33.877	127.0.0.1:50920	admin	OK	Query executed in 18.55 ms.	19.68 ms
17:27:27.732	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.96 ms
17:27:27.761	127.0.0.1:50960	admin	OK	Query executed in 28.14 ms.	29.51 ms
17:27:27.763	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	0.96 ms
17:27:27.881	127.0.0.1:50960	admin	OK	Query executed in 117.12 ms.	127.98 ms
17:27:31.577	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.63 ms
17:27:31.607	127.0.0.1:50960	admin	OK	Query executed in 29.13 ms.	29.91 ms
17:27:31.607	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	0.38 ms
17:27:31.694	127.0.0.1:50960	admin	OK	Query executed in 85.39 ms.	89.37 ms
17:27:42.221	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.94 ms
17:27:42.234	127.0.0.1:50960	admin	OK	Query executed in 11.61 ms.	12.68 ms
17:27:42.236	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	0.65 ms
17:27:42.290	127.0.0.1:50960	admin	OK	Query executed in 53.02 ms.	54.23 ms
17:27:51.108	127.0.0.1:50960	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	0.61 ms
17:27:51.121	127.0.0.1:50960	admin	OK	Query executed in 12.55 ms.	13.47 ms
17:28:00.208	127.0.0.1:50960	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.83 ms
