16:43:55.103	SERVER	admin	OK	Server was started (port: 1984).
16:47:52.552	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:home()	106.88 ms
16:47:54.888	127.0.0.1:43462	admin	OK	Query executed in 2325.34 ms.	2335.15 ms
16:48:36.437	127.0.0.1:43462	admin	REQUEST	XQUERY <root>{for $a in collection('SpotifyPlaylist')//playlistDemo return $a }</root>	0.81 ms
16:48:36.441	127.0.0.1:43462	admin	OK	Query executed in 3.67 ms.	4.41 ms
16:48:38.287	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.77 ms
16:48:38.338	127.0.0.1:43462	admin	ERROR	Stopped at ., 1/100: [XPST0017] Unknown function: funcsPlaylist:last-playlistID.	51.28 ms
16:49:45.800	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.89 ms
16:49:45.823	127.0.0.1:43462	admin	OK	Query executed in 21.7 ms.	22.83 ms
16:49:46.046	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:musicas()	1.41 ms
16:49:46.189	127.0.0.1:43462	admin	OK	Query executed in 141.7 ms.	142.79 ms
16:49:59.827	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:last-playlistID()	0.79 ms
16:49:59.842	127.0.0.1:43462	admin	OK	Query executed in 13.63 ms.	14.55 ms
16:49:59.843	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('1iTeTbQNs60GuQ7RHRs3fB')	0.62 ms
16:49:59.899	127.0.0.1:43462	admin	OK	Query executed in 55.52 ms.	56.52 ms
16:49:59.901	127.0.0.1:43462	admin	REQUEST	XQUERY import module namespace funcsPlaylist = 'com.funcsPlaylist.my.index'; funcsPlaylist:info-musica('59RzIGDFjculZ2ek1yCzj5')	0.71 ms
16:49:59.922	127.0.0.1:43462	admin	OK	Query executed in 20.41 ms.	21.44 ms
